time,ITAir,ITLiq
1569600,334325.7513,334325.7513
1573200,335680.3889,335680.3889
1576800,293608.0295,293608.0295
1580400,300981.0857,300981.0857
1584000,369542.8827,369542.8827
1587600,388326.1775,388326.1775
1591200,430583.2531,430583.2531
1594800,411939.9999,411939.9999
1598400,407280.3455,407280.3455
1602000,327157.4731,327157.4731
1605600,343685.3914,343685.3914
1609200,325811.5143,325811.5143
1612800,302754.7755,302754.7755
1616400,324669.1336,324669.1336
1620000,341133.774,341133.774
1623600,340671.1018,340671.1018
1627200,345601.1399,345601.1399
1630800,322251.05,322251.05
1634400,369326.6896,369326.6896
1638000,336654.7025,336654.7025
1641600,360032.2058,360032.2058
1645200,329451.9977,329451.9977
1648800,295207.8506,295207.8506
1652400,265740.4939,265740.4939
1656000,252938.663,252938.663
1659600,245157.7786,245157.7786
1663200,272162.8702,272162.8702
1666800,234244.1873,234244.1873
1670400,253861.1364,253861.1364
1674000,282746.8523,282746.8523
1677600,316613.8404,316613.8404
1681200,335668.3194,335668.3194
1684800,318861.5936,318861.5936
1688400,315008.5234,315008.5234
1692000,330274.5426,330274.5426
1695600,354907.2704,354907.2704
1699200,356685.8276,356685.8276
1702800,337283.3108,337283.3108
1706400,354016.2336,354016.2336
1710000,338820.61,338820.61
1713600,332059.5213,332059.5213
1717200,352972.6317,352972.6317
1720800,371016.0172,371016.0172
1724400,367046.769,367046.769
1728000,403624.8114,403624.8114
1731600,362259.5294,362259.5294
1735200,358218.6778,358218.6778
1738800,328958.4944,328958.4944
1742400,320099.6311,320099.6311
1746000,317084.765,317084.765
1749600,332947.6832,332947.6832
1753200,317328.9007,317328.9007
1756800,260259.964,260259.964
1760400,249618.9893,249618.9893
1764000,267639.4967,267639.4967
1767600,247586.1416,247586.1416
1771200,246309.6259,246309.6259
1774800,245171.8215,245171.8215
1778400,263922.4179,263922.4179
1782000,255770.6936,255770.6936
1785600,265441.4437,265441.4437
1789200,260516.1731,260516.1731
1792800,272732.6669,272732.6669
1796400,334787.1879,334787.1879
1800000,344064.4892,344064.4892
1803600,317598.5427,317598.5427
1807200,319937.1719,319937.1719
1810800,316488.0972,316488.0972
1814400,345389.4139,345389.4139
1818000,343166.9502,343166.9502
1821600,337626.7625,337626.7625
1825200,313794.6816,313794.6816
1828800,318757.004,318757.004
1832400,326198.3812,326198.3812
1836000,319852.208,319852.208
1839600,301616.3523,301616.3523
1843200,332247.1955,332247.1955
1846800,370852.3275,370852.3275
1850400,355937.2951,355937.2951
1854000,325134.8078,325134.8078
1857600,335674.6213,335674.6213
1861200,350648.3879,350648.3879
1864800,345203.2884,345203.2884
1868400,352112.8715,352112.8715
1872000,342052.6343,342052.6343
1875600,343893.4609,343893.4609
1879200,361879.5536,361879.5536
1882800,358447.2889,358447.2889
1886400,381989.0381,381989.0381
1890000,384272.5434,384272.5434
1893600,378741.9142,378741.9142
1897200,368424.8207,368424.8207
1900800,399567.4072,399567.4072
1904400,374058.3728,374058.3728
1908000,391528.1043,391528.1043
1911600,389577.6967,389577.6967
1915200,440059.8368,440059.8368
1918800,436042.5344,436042.5344
1922400,430432.7731,430432.7731
1926000,411212.4367,411212.4367
1929600,438890.2807,438890.2807
1933200,436621.2606,436621.2606
1936800,422977.9382,422977.9382
1940400,342538.0482,342538.0482
1944000,390466.8552,390466.8552
1947600,383386.7907,383386.7907
1951200,421195.3404,421195.3404
1954800,369001.8297,369001.8297
1958400,343584.858,343584.858
1962000,431164.9662,431164.9662
1965600,405772.7768,405772.7768
1969200,334547.4497,334547.4497
1972800,413556.663,413556.663
1976400,410320.0733,410320.0733
1980000,435764.7862,435764.7862
1983600,403065.0249,403065.0249
1987200,445990.8078,445990.8078
1990800,427675.4514,427675.4514
