tdry_profile,twet_profile
284.25,275.3553361883677
283.75,275.0485497736191
284.25,275.22761493390294
283.75,274.92637514258627
283.75,274.80197900347025
282.54999999999995,274.312102841614
284.25,274.96501353555925
283.75,274.67554561745754
282.04999999999995,273.9018184730009
280.95,273.32976781584
277.54999999999995,271.6212551590368
280.34999999999997,273.4506018860832
283.75,274.80197900347025
282.54999999999995,274.09263636301523
285.34999999999997,275.45358955661993
285.95,275.6357772627044
288.15,276.6638472556349
288.15,276.85153713057554
288.75,276.9869713712984
288.75,276.9869713712984
288.15,276.6638472556349
285.34999999999997,275.45358955661993
284.84999999999997,275.3123053762476
283.75,274.80197900347025
282.54999999999995,274.20321777495076
273.75,269.3783257408602
270.95,268.01843463626983
269.84999999999997,267.61608234834125
268.15,266.6196702210017
267.54999999999995,266.7676419059028
267.54999999999995,267.10012723722195
267.54999999999995,267.10012723722195
268.15,267.36006724343883
268.15,267.36006724343883
268.15,267.63007514211426
268.15,267.36006724343883
268.75,267.88533742223194
268.75,267.88533742223194
268.75,267.62373957758854
271.45,269.33472224140814
274.25,271.2371386485755
274.84999999999997,271.5890062652964
276.45,272.4270902068859
278.75,273.75924111969886
279.84999999999997,274.2845092267432
280.34999999999997,274.60140578234854
278.75,273.75924111969886
277.04999999999995,272.684150548444
273.75,270.5506576312099
273.15,270.1868500341362
271.45,269.15516581134557
271.45,268.92655110369327
270.34999999999997,268.30327938070127
269.84999999999997,267.8344393240259
268.15,266.6196702210017
267.54999999999995,266.27359068250485
267.04999999999995,265.7896186235429
267.04999999999995,265.7896186235429
266.45,265.20885069999093
266.45,265.20885069999093
267.54999999999995,265.67775467095623
271.45,268.3665856201402
275.95,271.481967270332
279.84999999999997,273.99247078495563
283.75,276.26574250547196
285.95,277.2162415859063
287.54999999999995,277.8502840602824
288.75,278.11503505102314
288.75,277.7549389013669
288.15,277.7471961118848
284.25,275.72403608553486
281.45,274.2789350941824
276.45,271.4530859603957
